company_name,url,snippet,social_links,content_length,scrape_method,success
9. Greater Colorado Venture Fund,https://greatercolorado.vc,"VC fund investing in high-growth startups and deep tech companies in rural Colorado, aiming to build sustainable communities[11].",,3718,requests,Yes
10. Ascent Deep Tech Accelerator (Venture Partners at CU Boulder),https://www.colorado.edu/venturepartners/opportunities-and-events/ascent-deep-tech-accelerator,"Accelerator supporting research teams and deep tech startups from University of Colorado campuses, helping them commercialize engineering and scientific innovations[3].","linkedin: https://www.linkedin.com/in/jianliang-xiao-03614671/, twitter: mailto:bart@eerdx.com",30166,requests,Yes
Ibex Investors,https://www.ibexinvestors.com,"A Denver venture capital firm investing in early-stage private companies, particularly in mobility and innovative sectors, with a proactive approach to portfolio company growth.",,1139,requests,Yes
Rockies Venture Fund,https://www.rockiesventurefund.com,"A Denver-based venture capital firm supporting early-stage companies in Colorado and the surrounding region, with a history of investing in diverse industries.",,945,requests,Yes
Delta-v Capital,https://www.deltavcapital.com,"A Boulder-based growth equity firm investing in leading software and internet infrastructure companies, providing flexible capital and strategic support for scaling businesses.","linkedin: https://www.linkedin.com/company/delta-v-capital, twitter: https://twitter.com/deltavcapital",6120,requests,Yes
Meritage Funds,https://www.meritagefunds.com,"Growth equity firm investing in technology-enabled services and recurring-revenue businesses, focusing on companies with $3–$20 million in annualized revenue[3].",,0,requests,No
Altira Group,https://www.altiragroup.com,"Venture capital firm specializing in technology and software companies driving enterprise digital transformation, with a strong focus on energy technology[3].",,12508,requests,Yes
Advantage Capital Partners,https://www.advantagecap.com,National investment firm with a dedicated Colorado fund supporting local startups and growing businesses[1][9].,,5094,requests,Yes
Techstars Boulder,https://www.techstars.com/accelerators/boulder,"Renowned accelerator providing mentorship and funding to early-stage startups across various industries, based in Boulder[5].",,0,requests,No
1. Opanga Networks,https://www.opanga.com,Develops advanced software solutions for mobile network optimization and performance enhancement; recently received Series D funding from Boulder Ventures[3].,,4119,requests,Yes
2. Spectrum Effect,https://www.spectrumeffect.com,Provides AI-driven network analytics for mobile operators to improve wireless network performance and efficiency; backed by Boulder Ventures[3].,"facebook: https://www.facebook.com/Spectrum-Effect-450369998421600/, linkedin: https://www.linkedin.com/company/spectrum-effect/, youtube: https://www.youtube.com/channel/UChndB3LG5svlinMknW7gz-w, instagram: https://www.instagram.com/spectrum.effect",17466,requests,Yes
3. Ambrosia Biosciences,https://www.ambrosiatherapeutics.com,"Biotechnology company focused on drug discovery and development, with operations in Boulder, Colorado; Boulder Ventures participated in its Series A funding[3].",,0,requests,No
4. Array BioPharma (acquired by Pfizer),https://www.pfizer.com/science/oncology/array-biopharma,Formerly an independent biotech company specializing in the discovery and development of targeted small molecule drugs; acquired by Pfizer for $11.8 billion[7].,,0,requests,No
5. LeftHand Networks (acquired by HP),https://www.hpe.com/us/en/storage.html,Provided storage area network (SAN) solutions; acquired by Hewlett-Packard (now HPE)[7].,,5106,requests,Yes
6. Wall Street on Demand (acquired by Goldman Sachs),https://www.goldmansachs.com,Provided financial data and analytics platforms; acquired by Goldman Sachs[7].,,6343,requests,Yes
7. Crisp,https://www.crispnow.com,"Offers a platform for real-time data sharing and collaboration, serving enterprise clients; listed as a Boulder Ventures portfolio company[2].",,2837,requests,Yes
8. DatAvail,https://www.datavail.com,"Provides managed services for databases, analytics, and cloud infrastructure, serving enterprise clients; Boulder Ventures portfolio company[2].","linkedin: https://www.linkedin.com/company/datavail/, twitter: https://twitter.com/datavail, facebook: https://www.facebook.com/datavail, youtube: https://www.youtube.com/datavail",5456,requests,Yes
9. Digital Fortress,https://www.digitalfortress.com,"Delivers data center, cloud, and managed IT services; Boulder Ventures portfolio company[2].",,0,requests,No
10. EdgeConneX,https://www.edgeconnex.com,"Specializes in edge data center solutions for cloud, content, and network service providers; Boulder Ventures portfolio company[2].",twitter: https://www.edgeconnex.com/news/press-releases/global-data-center-leader-edgeconnex-unveils-plans-for-japanese-market-entry/,2395,requests,Yes
Red Canary,https://redcanary.com,Provides cybersecurity solutions focused on managed detection and response for organizations[1][11].,,9738,playwright,Yes
Bonusly,https://bonus.ly,Employee recognition and rewards platform designed to improve workplace engagement and culture[1][11].,,6052,requests,Yes
Ascent360,https://ascent360.com,"Cloud-based customer data platform for marketers to unify, analyze, and activate customer data[1][11].",,4740,requests,Yes
CommercialTribe,https://www.commercialtribe.com,Sales readiness and coaching platform for enterprise sales teams[1].,,0,requests,No
Dapix (now known as FIO Protocol),https://fioprotocol.io,Blockchain protocol focused on usability and interoperability for digital assets[1].,"twitter: https://twitter.com/joinFIO, facebook: https://www.facebook.com/officialFIO, youtube: https://www.youtube.com/@FIOprotocol, instagram: https://www.instagram.com/join.fio/, linkedin: https://www.linkedin.com/company/fioprotocol/",5553,requests,Yes
Hyperia,https://hyperia.net,"AI-powered platform for automating meeting notes, summaries, and knowledge management[1].",,0,requests,No
Resurface Labs,https://resurface.io,API security and observability platform for monitoring and protecting API traffic[1].,,4212,requests,Yes
Nivati,https://nivati.com,"Employee mental health and wellness platform offering counseling, coaching, and wellness resources[1].",,6373,requests,Yes
RADICL Defense,https://radicl.com,Cybersecurity company providing managed detection and response services for small and midsize businesses[1].,,8682,requests,Yes
Wednesday,https://wednesday.is,Software development consultancy specializing in product engineering and digital transformation[1].,"twitter: https://twitter.com/wednesdaysol?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor, linkedin: https://in.linkedin.com/company/wednesday-solutions?original_referer=https%3A%2F%2Fwww.google.com%2F, instagram: https://www.instagram.com/wednesday.sol/?hl=en",7702,requests,Yes
FullContact,https://www.fullcontact.com,"Offers identity resolution and contact management solutions for businesses, helping them unify customer data and improve engagement. Founded by Bart Lorang.",,4328,requests,Yes
Modular Robotics,https://www.modrobotics.com,Designs and manufactures educational robot construction kits to promote STEM learning for children and educators. Founded by Eric Schweikardt.,"twitter: https://twitter.com/modrobotics, facebook: https://www.facebook.com/modrobotics, instagram: https://www.instagram.com/modrobotics/, youtube: https://www.youtube.com/modrobotics",16254,requests,Yes
Cheddar Up,https://www.cheddarup.com,"Provides a platform for groups and organizations to collect payments and information online, simplifying group management and fundraising. Founded by Nichole Montoya and Lindsay Duran.",,10990,requests,Yes
Kindara,https://www.kindara.com,Develops fertility tracking apps and devices to empower women with knowledge about their reproductive health. Founded by Will Sacks and Kati Bicknell.,,278,playwright,Yes
Ello,https://ello.co,"A social network for creators, artists, and creative communities focused on privacy and ad-free experiences. Founded by Paul Budnitz, Todd Berger, and Lucian Föhr.",,32630,requests,Yes
Sovrn,https://www.sovrn.com,Provides advertising technology and publisher solutions to help online publishers grow revenue and optimize content. Founded by Walter Knapp.,,20269,requests,Yes
Shinesty,https://www.shinesty.com,"Sells bold, themed apparel and accessories for parties, events, and holidays, known for its humorous and irreverent brand. Founded by Chris White and Jens Nicolaysen.",,2203,requests,Yes
MobileDay,https://www.mobileday.com,"Offers a mobile app that enables one-touch dialing into conference calls and online meetings, streamlining remote work communications. Founded by Brad Dupee.",,705,requests,Yes
SendGrid,https://sendgrid.com,"Provides cloud-based email delivery services for transactional and marketing emails, enabling businesses to reliably send and track emails at scale[5][9].",,7464,requests,Yes
DigitalOcean,https://www.digitalocean.com,"Offers cloud computing services and infrastructure for developers, focusing on simplicity and scalability for deploying and managing applications[5][9].","twitter: https://twitter.com/digitalocean, instagram: https://www.instagram.com/thedigitalocean/, facebook: https://www.facebook.com/DigitalOceanCloudHosting, youtube: https://www.youtube.com/DigitalOcean, linkedin: https://www.linkedin.com/company/digitalocean/",10395,requests,Yes
SalesLoft,https://salesloft.com,"Delivers a sales engagement platform that helps sales teams increase productivity, track communications, and optimize workflows[5].",,8437,requests,Yes
Veho,https://shipveho.com,"Specializes in technology-driven logistics and last-mile delivery solutions for e-commerce brands, focusing on customer experience[5].",,2922,requests,Yes
Sphero (formerly Orbotix),https://sphero.com,Designs and manufactures programmable robots and educational STEAM tools for learners of all ages[9].,,14541,requests,Yes
Next Big Sound,https://www.nextbigsound.com,"Offers analytics and insights for the music industry, tracking artist performance across social media and streaming platforms[9].",,0,requests,No
Outreach,https://www.outreach.io,Provides a sales execution platform that automates and optimizes sales communications and workflows for revenue teams[9].,,11295,requests,Yes
Bench,https://bench.co,"Delivers online bookkeeping and accounting services for small businesses, combining software with human bookkeepers[9].",,15500,requests,Yes
Cotopaxi,https://www.cotopaxi.com,"Outdoor gear and apparel company focused on sustainable products and social impact, known for colorful backpacks and adventure clothing[1][2][3][5].",,9836,requests,Yes
Bobo’s,https://eatbobos.com,"Producer of wholesome oat bars and snacks, emphasizing simple ingredients and healthy eating[1][2][3][5].",,18415,requests,Yes
The Pro’s Closet (TPC),https://www.theproscloset.com,Marketplace for buying and selling certified pre-owned bikes and cycling gear[1][2][3][9].,,21019,requests,Yes
Joyfull Bakery,https://joyfullbakery.com,"Specialty bakery known for artisan baked goods, including cheese crisps and other snacks[1][2][3].",instagram: https://www.instagram.com/p/DQmoR2kD2_A/,7117,requests,Yes
KCN Campgrounds,https://kcncampgrounds.com,"Operator and consolidator of outdoor hospitality properties, including RV campgrounds and parks[1][5].",,1417,requests,Yes
Bonafide Provisions,https://www.bonafideprovisions.com,Producer of organic bone broths and wellness foods focused on gut health and nutrition[1][3].,"instagram: https://instagram.com/bonafideprovisions, facebook: https://www.facebook.com/bonafideprovisions/",621,requests,Yes
Force of Nature,https://forceofnature.com,"Regenerative meat company offering grass-fed, ethically sourced meats[1][3].","facebook: https://www.facebook.com/forceofnaturemeats/, instagram: https://www.instagram.com/forceofnaturemeats/, youtube: https://www.youtube.com/channel/UCkH4nfYuzjZXCPuuHL-swNg, twitter: https://twitter.com/fonmeats",7178,requests,Yes
Lifeforce,https://www.mylifeforce.com,Health optimization platform providing personalized diagnostics and supplements for longevity and wellness[1][3].,,144,requests,No
Noka,https://www.nokaorganics.com,Brand offering organic superfood smoothies and snacks in convenient pouches[1][3].,,9545,requests,Yes
Solarcore,https://solarcore.io,Advanced materials company specializing in high-performance insulation technology for apparel and gear[1][3].,,912,requests,Yes
Electric Era,https://www.electriceratechnologies.com,"Develops AI-driven high-power storage systems for EV fast charging stations, enabling faster and more efficient electric vehicle charging[7].","twitter: https://twitter.com/ElectricEraTech, youtube: https://www.youtube.com/channel/UCONLPSU6kh0jyNSgTR1MAzQ, facebook: https://www.facebook.com/ElectricEraTechnologies, linkedin: https://www.linkedin.com/company/electric-era",11064,requests,Yes
King Energy,https://www.kingenergy.com,"Provides commercial-scale solar solutions for shopping centers and office buildings, helping property owners and tenants benefit financially from solar energy[7].",,6578,requests,Yes
Formic,https://www.formic.co,"Offers automation solutions for food, beverage, chemical, and CPG companies, providing case packing and palletizing as a service with performance guarantees and 24/7 support[7].",,11475,requests,Yes
Optera,https://opteraclimate.com,"Delivers enterprise software to help organizations measure, manage, and reduce their greenhouse gas emissions and advance climate action[5][7].",twitter: https://www.box.com/about-us/esg,12776,requests,Yes
Safehub,https://www.safehub.io,Provides real-time situational awareness for buildings and supply chains using proprietary sensors and rapid alerts to assess the impact of events like earthquakes[3][7].,,5721,requests,Yes
Buzz Solutions,https://www.buzzsolutions.co,"Uses AI-based analytics and predictive insights to detect faults and inspect power lines, improving grid reliability and reducing wildfire risk[3][7].",,7914,requests,Yes
Rhumbix,https://www.rhumbix.com,"Offers a digital field data platform for construction, enabling better project tracking, compliance, and productivity through mobile-first solutions[3][7].",twitter: https://go.rhumbix.com/scheduledemo,10656,requests,Yes
Datch,https://www.datch.io,"Provides an AI-powered voice interface for industrial teams, allowing workers to capture and access operational data hands-free in real time[3][7].",,4529,requests,Yes
Aperia Technologies,https://aperiatech.com,"Develops automatic tire inflation systems and analytics for commercial vehicle fleets, improving safety, fuel efficiency, and tire life[3][7].",,8644,requests,Yes
CoFi,https://www.cofisoftware.com,"Offers a collaborative construction finance platform that streamlines payments and draws for contractors, owners, and lenders, increasing transparency and efficiency[3][7].","facebook: https://www.facebook.com/cofisoftware/, linkedin: https://www.linkedin.com/company/cofilending/, instagram: https://www.instagram.com/cofilending",5887,requests,Yes
Alpine IQ,https://www.alpineiq.com,"Broomfield-based software company specializing in customer data management and omnichannel consumer experience solutions, with over 16,000% revenue growth since 2020[1][3].",,3960,requests,Yes
The Luxe Room,https://www.theluxeroom.com,"Denver-based medical spa and laser clinic offering cosmetic injectables and aesthetic treatments, with over 5,000% revenue growth since 2020[1][3].",,91,playwright,Yes
InvitedHome,https://www.invitedhome.com,"Boulder-based travel and vacation rental management company, recognized for rapid growth and innovative property management solutions[2].",,1748,requests,Yes
Acoma Energy,https://www.acomaenergy.com,"Colorado-based energy company focused on oil and gas services, noted for nearly 5,000% growth over three years[2].",,0,requests,No
Skratch Labs,https://www.skratchlabs.com,"Boulder-based company producing sports nutrition products, including hydration mixes and energy bars, with significant revenue growth since 2020[2].","instagram: https://www.instagram.com/skratchlabs/?hl=en, youtube: https://www.youtube.com/user/SkratchLabs, facebook: https://www.facebook.com/skratchlabs/",11126,requests,Yes
The Nokbox,https://www.thenokbox.com,"Littleton-based company providing next-of-kin information kits to help families organize critical documents, with over 350% revenue growth[5].",twitter: https://www.thenokbox.com/collections/nokbox-kits/products/nokbox-naked,3567,requests,Yes
Caliola Engineering,https://www.caliola.com,"Colorado Springs-based provider of mission-critical communications solutions for defense and government, with 71% revenue growth[5].","linkedin: https://www.linkedin.com/company/caliola, facebook: https://www.facebook.com/people/Caliola-Engineering-LLC/100068614479860/",1759,playwright,Yes
ActivateWork,https://www.activatework.org,"Denver-based nonprofit offering technology boot camps and apprenticeships, with 110% revenue growth since 2020[5].",,4024,requests,Yes
Copper Door Coffee Roasters,https://www.copperdoorcoffee.com,"Denver-based specialty coffee roaster and café operator, with 50% revenue growth since 2020[5].",,0,requests,No
Karsh Hagan,https://www.karshhagan.com,"Denver-based marketing, branding, and digital agency, with 25% revenue growth since 2020[5].","instagram: https://www.instagram.com/karshhagan/, facebook: https://www.facebook.com/KarshHagan/, linkedin: https://www.linkedin.com/company/karshhagan",9522,requests,Yes
Verblio,https://www.verblio.com,Content creation marketplace platform; notable for rapid growth and innovative marketing technology[4].,,3989,requests,Yes
Silicon Mountain,https://www.siliconmtn.com,Specializes in digital solutions and DevSecOps as a service; demonstrated significant revenue growth in recent years[4].,,2788,requests,Yes
House of Revenue,https://www.houseofrevenue.com,Offers fractional CRO and CMO revenue consulting; experienced strong year-over-year growth[4].,,0,playwright,Yes
AppIt Ventures,https://www.appitventures.com,Custom software development firm; consistently growing and serving a diverse client base[4].,,10914,requests,Yes
Insight Designs Web Solutions,https://www.insightdesigns.com,Web and app development company with a long-standing presence and steady growth in Boulder[4].,"facebook: https://www.facebook.com/InsightDesigns, instagram: https://instagram.com/insightdesignsboulder/, linkedin: https://www.linkedin.com/company/insight-designs-web-solutions-llc, twitter: https://twitter.com/InsightDesigns, youtube: https://www.youtube.com/channel/UCcnZkG1T_mNRX8mTqczevbg",6827,requests,Yes
PeerSource Partners,https://www.mypeersource.com,IT-focused recruiting firm; privately held and showing stable performance[4].,,111,requests,No
LumenAstra,https://lumenastra.io,"Deep tech spin-off from CU Boulder developing advanced photonics solutions for medical and defense applications, currently raising a $5M seed round[3].",linkedin: https://www.linkedin.com/in/tom-meese-615ab35/,6030,requests,Yes
Josh.ai,https://www.josh.ai,"Develops AI-powered voice automation systems for smart homes, with recent funding rounds and private ownership[7][10].","twitter: https://twitter.com/joshdotai, facebook: https://www.facebook.com/joshdotai, instagram: https://www.instagram.com/joshdotai/",14326,requests,Yes
Orion,https://www.orion.com,"AI-powered risk intelligence platform for enterprises, recently secured $3.5M in funding and is still private[17].",,14993,requests,Yes
Valiu,https://www.valiu.com,"Fintech platform enabling international money transfers, recently funded and operating privately[7].",linkedin: https://www.linkedin.com/company/valiu-com/,5343,playwright,Yes
1. Helio Home,https://www.heliohome.io,"Simplifies the transition off fossil fuels by providing an online platform for whole-home electrification, focusing on renewable energy and solar solutions. Founded in 2021 and based in Denver[11].",,24,requests,No
2. Mom Juice,https://www.momjuice.com,"Innovates the wine industry with modern packaging and messaging, emphasizing ingredient transparency and catering to contemporary consumer needs. Founded in 2020 in Denver by Kristin Taylor and Macie ",,615,requests,Yes
3. Codiga,https://www.codiga.io,"Offers a coding assistant tool that helps developers find code snippets within their IDE, enhancing productivity for software engineers. Founded in 2019 in Denver by Julien Delange[11].",,4035,requests,Yes
7. Deepwatch,https://www.deepwatch.com,"Delivers managed security services to enterprises, specializing in cybersecurity and threat detection. Founded in 2019 and headquartered in Colorado[7].",,6799,requests,Yes
9. Biofire,https://www.biofiretech.com,"Develops biometric firearm technology to enhance gun safety, offering smart guns that only authorized users can fire. Based in Colorado[5].",,0,requests,No
10. Maxwell,https://www.himaxwell.com,"Provides a digital mortgage platform that streamlines loan processing for lenders, improving efficiency and borrower experience. Headquartered in Denver, Colorado[5].",,13246,requests,Yes
5. Sierra Space,https://sierraspace.com,"A commercial space company focused on building the next generation of space transportation and habitats, with significant technical leadership and rapid growth[6][9].",,2790,requests,Yes
6. Quantinuum,https://quantinuum.com,"A quantum computing company formed from the merger of Honeywell Quantum Solutions and Cambridge Quantum, headquartered in Colorado and led by technical founders[6][9].","twitter: https://x.com/QuantinuumQC, linkedin: https://www.linkedin.com/company/quantinuumqc/, youtube: https://www.youtube.com/@QuantinuumQC",19624,requests,Yes
8. Stack Infrastructure,https://stackinfra.com,"Provides data center solutions and infrastructure, founded by Brian Cox and recognized as a high-growth Colorado tech company[14][16].",,4801,requests,Yes
9. Cologix,https://cologix.com,A data center and interconnection solutions provider with a strong technical founding team and significant growth in Colorado[9][6].,"twitter: https://cologix.com/privacy-policy/, facebook: https://www.facebook.com/Cologix/, linkedin: https://www.linkedin.com/company/cologix-inc/",18737,requests,Yes
10. Elevate Quantum,https://elevatequantum.com,"An innovation hub and accelerator supporting quantum technology startups, with technical founders and a rapidly expanding presence in Colorado’s deep tech ecosystem[7].",,18,playwright,Yes
8. Automox,https://www.automox.com,"Delivers cloud-native IT operations and endpoint management solutions; headquartered in Boulder, Colorado, with significant venture backing[3][7][15].","twitter: https://twitter.com/automox?lang=en, facebook: https://www.facebook.com/automox/, instagram: https://www.instagram.com/patchautomox, linkedin: https://www.linkedin.com/company/automox/, youtube: https://www.youtube.com/c/Automox",13084,requests,Yes
10. Sonder,https://www.sonder.com,Hospitality company offering short-term rentals and hotel alternatives; has a major presence in Denver and has raised hundreds of millions in funding[3][7][15].,,2933,requests,Yes
Tilled,https://www.tilled.com,"Provides a B2B SaaS platform that enables software companies to monetize payments through PayFac-as-a-Service, backed by VC funding[8][1].",youtube: https://www.youtube.com/@tilled6267,5096,requests,Yes
TurboTenant,https://www.turbotenant.com,"Offers a SaaS platform for landlords to manage rental properties, screen tenants, and collect rent online; VC-funded and B2B-focused[8][1].",,33916,requests,Yes
Evolve,https://www.evolve.com,"Provides a SaaS platform for vacation rental management, serving property owners and managers (B2B); VC-backed[1][8].",,19970,requests,Yes
WorkBright,https://workbright.com,Provides a SaaS onboarding platform for HR teams to automate new hire paperwork and compliance; B2B and VC-funded[1][8].,,9415,requests,Yes
1. Ezra Climate,https://ezraclimatetech.com,"Builds climate fintech companies and platforms, focusing on financial solutions for climate-related challenges. Founded in 2020[3].",,0,requests,No
2. Truck Desk,https://truckdesk.com,"Provides Compliance-as-a-Service for the trucking industry, helping companies manage regulatory and financial compliance. Founded in 2021[3].","facebook: https://www.facebook.com/groups/1542324299450208, twitter: https://twitter.com/TruckDesk, instagram: https://www.instagram.com/truck.desk/",546,requests,Yes
3. Outside VC,https://outside-vc.com,"Early-stage venture capital firm and fintech platform based in Denver, offering investment opportunities and financial products. Founded in 2022[2].",,6849,requests,Yes
"4. Decision.ai, Inc.",https://decision.ai,"Golden, Colorado-based fintech startup using AI for financial decision-making and analytics. Founded in 2020[5].",,3207,playwright,Yes
3. RxRevu (now Arrive Health),https://arrivehealth.com,"Denver-based digital health company providing real-time prescription decision support, secured Series A funding in 2019[17].","linkedin: https://www.linkedin.com/company/arrivehealth, twitter: https://twitter.com/ArriveHealth",5815,requests,Yes
4. Althea,https://www.altheahealth.com,"Colorado health tech startup focused on improving healthcare delivery, recently funded (Seed round, but closely adjacent to Series A)[1].",,0,requests,No
6. DifferentKind,https://www.differentkind.com,"Colorado health tech company focused on mental health solutions, recently funded (Series Unknown, but in the healthcare tech sector)[1].","twitter: https://twitter.com/imdifferentkind, instagram: https://www.instagram.com/imdifferentkind/, linkedin: https://www.linkedin.com/company/differentkind",9476,requests,Yes
7. Posterity Health,https://www.posterityhealth.com,"Colorado-based digital health platform for male fertility, recently raised a Seed round but is a notable healthcare tech startup[1].",,6582,requests,Yes
8. In-House Health,https://www.inhouse.health,"Colorado startup providing healthcare solutions for employers, recently raised a Seed round[1].","twitter: https://x.com/InHouse_Health, instagram: https://www.instagram.com/inhouse_health/, linkedin: http://www.linkedin.com/company/in-house-health",10101,requests,Yes
Nira Energy,https://niraenergy.com,Nira Energy provides advanced battery analytics and management systems to optimize energy storage and improve grid sustainability.,,27044,requests,Yes
Carbon America,https://carbonamerica.com,Carbon America focuses on carbon capture and sequestration technologies to help industries reduce their carbon footprint.,,1864,requests,Yes
Matereal,https://matereal.com,Matereal creates sustainable building materials using recycled and bio-based resources to lower construction emissions.,,478,playwright,Yes
Silvis Materials,https://silvismaterials.com,"Silvis Materials develops innovative, low-carbon materials for the construction industry, emphasizing circular economy principles.",,10092,requests,Yes
Invenergy,https://invenergy.com,"Invenergy is a global leader in sustainable energy solutions, developing and operating wind, solar, and energy storage projects.",,7950,requests,Yes
Living Ink Technologies,https://livingink.tech,"Living Ink Technologies produces sustainable, algae-based inks and pigments for the printing and packaging industries.",,0,requests,No
GridCure,https://gridcure.com,GridCure offers AI-powered grid optimization solutions to enhance the reliability and efficiency of renewable energy integration.,,0,requests,No
Thunderbird Solar,https://thunderbirdsolar.com,"Thunderbird Solar specializes in solar energy solutions for commercial and industrial customers, promoting clean energy adoption.",,631,requests,Yes
Halter,https://halter.co,Halter uses IoT and data analytics to improve livestock management and reduce the environmental impact of agriculture.,"facebook: https://www.facebook.com/atomdotcom, twitter: https://x.com/atomhq, instagram: https://www.instagram.com/workwithatom/, linkedin: https://www.linkedin.com/company/atomdotcom/, youtube: https://www.youtube.com/@atomdotcom",13456,requests,Yes
3. Pathify,https://pathify.com,"Delivers a modern engagement platform for higher education institutions, enabling improved digital campus experiences and communication[1][5].",youtube: https://www.youtube.com/watch?v=7lW0qYhfP_4,2872,requests,Yes
4. FusionAuth,https://fusionauth.io,"Offers developer-focused authentication and authorization solutions, including multifactor authentication and user management for enterprise applications[1][3][5].","youtube: https://www.youtube.com/c/FusionAuth/, twitter: https://x.com/fusionauth, linkedin: https://www.linkedin.com/company/fusionauth/",13792,requests,Yes
6. Wavelynx,https://wavelynxtech.com,"Specializes in secure access control hardware and software for enterprise environments, supporting modern identity and security needs[1][5].",,2116,requests,Yes
7. BillingPlatform,https://billingplatform.com,"Provides cloud-based billing and revenue management software for enterprises, supporting complex billing models and automation[1][3][5].",,14570,requests,Yes
10. EverCommerce,https://www.evercommerce.com,"Offers a suite of vertical SaaS solutions for service-based businesses, supporting operations, marketing, and customer retention for enterprises[16].",,4178,requests,Yes
8. Nimble Gravity,https://nimblegravity.com,"Offers data science, AI, and digital transformation consulting for e-commerce and enterprise clients. Based in Denver, Colorado[2].",,10578,requests,Yes
9. Cloutel,https://cloutel.com,"Minority-owned technology company delivering AI & ML, cybersecurity, and IT services for healthcare, telecom, and finance sectors. Based in Centennial, Colorado[4].",,0,requests,No
10. Never Ever Ordinary,https://nevereverordinary.com,"Provides AI-driven data analytics and growth strategies for businesses, focusing on intentional data and intelligent growth. Based in Parker, Colorado[4].",,2043,requests,Yes
True Anomaly,https://trueanomaly.com,Develops space security and satellite technology; received significant Series A investment in 2023[5].,,93,requests,No
Cowboy Clean Fuels,https://cowboycleanfuels.com,Commercializes renewable natural gas production by converting agricultural waste; secured $13 million in Series B funding in July 2024[5].,,8608,requests,Yes
7. TiLT,https://www.tilt.com,Offers leave of absence management software to streamline compliance and employee experience for HR teams[1].,,5111,requests,Yes
2. Affineon Health,https://www.affineonhealth.com,"HealthTech startup focused on administrative healthcare services, raised $5M in Seed funding[3].",,10295,requests,Yes
3. Western Microsurgical,https://www.wmicrosurgical.com,"Medical device company specializing in microsurgical instruments and solutions, recently funded (amount undisclosed)[3].",,0,requests,No
5. Gryphon Digital Mining,https://gryphondigitalmining.com,"Cryptocurrency mining company focused on sustainable mining practices, raised $2.9M in recent funding[3].",,9804,requests,Yes
6. Pioneer Energy,https://www.pioneerenergy.com,"Energy technology company developing modular processing systems for oil and gas, raised $27M in recent funding[3].",,14656,requests,Yes
"8. Lifeloc Technologies, Inc.",https://www.lifeloc.com,"Manufacturer of breath alcohol testing equipment and related health technologies, recently raised $750K[3].",,7992,requests,Yes
9. Electra,https://www.electra.co,"Energy company focused on decarbonizing industrial processes, raised $180.4M in recent funding[3].",,0,requests,No
Stout Street Capital,https://www.stoutstreetcapital.com,"Denver-based venture capital firm investing in early-stage technology companies, with a focus on scalable, high-growth startups[15].","linkedin: https://www.linkedin.com/company/stout-street-capital, twitter: https://twitter.com/StoutStreetVC",9705,requests,Yes
